Measurement Unit ----->,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D42,C39YV01MN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006510,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:29:10,2019-07-05 20:29:57,500.10.17-17A95220h,,,,,47.982119,,,5,71271,499437,570708,,,,,,,,,,,,,,,,38.09,46.51,44.91,45.68,53.69,43.4,61.68,66.15,66.84,56.87,57.64,25.29,25.68,25.79,25.57,26.53,25.32,25.59,25.5,25.78,26.37,25.89,487788544
FXGL,D42,C39YV020N2RT,D42-CARRIER,D42-CARRIER_1G36RX,006523,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:19:30,2019-07-05 09:20:05,500.10.17-17A95220i,,,,,34.924188,,,5,58576,572697,631273,,,,,,,,,,,,,,,,38.5,48,46.73,47.93,55.07,45.04,64.78,68.29,67.95,58.32,59.45,28.2,28.2,28.6,28.37,28.52,28.23,29.29,28.9,28.71,28.51,28.42,487788544
FXGL,D42,C39YV020N2RT,D42-CARRIER,D42-CARRIER_1G36RX,006523,FXGL_C03-5F-BIR_3_LOG-COLLECTION,FAIL,2019-07-05 20:31:12,2019-07-05 20:32:22,500.10.17-17A95220h,kCollectLogs Could not connect to device at USB location 0x1a121000;Finalize the device is not found in connected device list,,,,69.413702,,5010,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437391360
FXGL,D42,C39YV020N2RT,D42-CARRIER,D42-CARRIER_1G36RX,006523,FXGL_C03-5F-BIR_3_LOG-COLLECTION,FAIL,2019-07-05 20:32:37,2019-07-05 20:33:00,500.10.17-17A95220h,kCollectLogs Failed to add blob for LogCollection;Finalize the device is not found in connected device list,,,,22.994877,,5010,,,,,,,,,,,,,,,20012,,,,,,,,,,,,,,,,,,,,,,,,,,,487788544
FXGL,D42,C39YV020N2RT,D42-CARRIER,D42-CARRIER_1G36RX,006523,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:33:14,2019-07-05 20:33:47,500.10.17-17A95220h,,,,,33.01915,,,5,60585,584698,645283,,,,,,,,,,,,,,,,37.4,47.02,45.49,46.92,53.94,44,63.4,66.92,66.92,57.12,58.32,24,23.96,24.26,24.1,24.33,23.96,25.98,25.29,25.29,25.1,24.9,487788544
FXGL,D43,G6TYT006N38X,D43-CRBMINI,D43-CRBMINI_FXFC6,000235,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:23:00,2019-07-05 00:23:12,500.10.8-17A24921d,,,,,12.298933,,,5,138290,813974,952264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYT007N38X,D43-CRBMINI,D43-CRBMINI_FXFC6,000234,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:29:33,2019-07-05 05:29:46,500.10.8-17A24921d,,,,,13.6644,,,5,142318,913291,1055609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYT009N38X,D43-CRBMINI,D43-CRBMINI_FXFC6,000232,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:06:06,2019-07-05 04:06:18,500.10.8-17A24921d,,,,,13.021314,,,5,127747,722990,850737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYT00BN38X,D43-CRBMINI,D43-CRBMINI_FXFC6,000230,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:27:34,2019-07-05 05:27:47,500.10.8-17A24921d,,,,,13.117763,,,1,28468,297358,325826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYT00GN39G,D43-CRBMINI,D43-CRBMINI_FXFC5,000186,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:17:04,2019-07-05 02:17:15,500.10.8-17A24921d,,,,,11.421839,,,4,138083,749279,887362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYT00GN3F2,D43-CRBMINI,D43-CRBMINI_FXFC2,000165,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:38:58,2019-07-05 01:39:10,500.10.8-17A24921d,,,,,12.313864,,,5,166811,1002120,1168931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336658432
FXGL,D43,G6TYT015N38X,D43-CRBMINI,D43-CRBMINI_FXFC8,000259,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:21:07,2019-07-05 05:21:18,500.10.8-17A24921d,,,,,11.606219,,,5,135917,889153,1025070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV007N38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000817,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:14:10,2019-07-05 02:14:21,500.10.8-17A24921d,,,,,11.5,,,5,52114,253400,305514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV00BN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000821,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:15:38,2019-07-05 02:15:50,500.10.8-17A24921d,,,,,11.773274,,,5,50510,324018,374528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
FXGL,D43,G6TYV00BN3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000451,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:12,2019-07-05 03:29:01,500.10.17-17A95220i,,,,,50.190113,,,5,37294,335701,372995,,,,,,,,,,,,,,,,34.09,43.03,40.72,41.94,50.29,39.87,58.5,61.93,61.76,53.81,54.68,24.7,25.62,25.14,25.2,26.16,25.53,24.9,25.1,24.51,25.29,24.51,337707008
FXGL,D43,G6TYV00GN3F7,D43-CRBMINI,D43-CRBMINI_7M1B2,000456,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:10:51,2019-07-05 03:11:02,500.10.8-17A24921d,,,,,11.418767,,,4,83674,617531,701205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D43,G6TYV00JN3D0,D43-CRBMINI,D43-CRBMINI_9M7B1,000766,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:26:03,2019-07-05 05:26:16,500.10.8-17A24921d,,,,,12.790834,,,5,38882,137215,176097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337707008
