Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D42,C39YV03AN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006827,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:11:33,2019-07-05 01:14:29
FXGL,D42,C39YV03BN2RN,D42-CARRIER,D42-CARRIER_1AFR1G,005250,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:04:20,2019-07-05 01:07:07
FXGL,D42,C39YV03UN2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006845,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-05 01:00:17,2019-07-05 01:03:13
FXGL,D42,C39YV058N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006893,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:00:57,2019-07-05 01:03:53
FXGL,D42,C39YV058N2QC,D42-CARRIER,D42-CARRIER_3AFR2R,006893,FXGL_C03-3F-DQE_11_QT1-PREBURN,PASS,2019-07-05 01:11:03,2019-07-05 01:13:59
FXGL,D42,C39YV11UN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007456,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:21:44,2019-07-05 01:24:39
FXGL,D42,C39YV11UN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007456,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 01:26:10,2019-07-05 01:29:06
FXGL,D42,C39YV11WN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007457,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 00:13:00,2019-07-05 00:15:57
FXGL,D42,C39YV11WN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007457,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 00:20:15,2019-07-05 00:23:11
FXGL,D42,C39YV11WN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007457,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 00:30:23,2019-07-05 00:33:20
FXGL,D42,C39YV12KN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007469,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 00:20:50,2019-07-05 00:23:47
FXGL,D42,C39YV12KN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007469,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 00:30:56,2019-07-05 00:33:53
FXGL,D42,C39YV12KN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007469,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 00:38:10,2019-07-05 00:41:07
FXGL,D42,C39YV13CN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007422,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:35:51,2019-07-05 01:38:46
FXGL,D42,C39YV13CN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007422,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:39:46,2019-07-05 01:42:42
FXGL,D42,C39YV13GN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007486,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 00:16:54,2019-07-05 00:19:50
FXGL,D42,C39YV13GN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007486,FXGL_C03-3F-DQE_11_QT1-PREBURN,FAIL,2019-07-05 00:25:56,2019-07-05 00:28:53
FXGL,D42,C39YV13GN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007486,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 00:34:27,2019-07-05 00:37:23
FXGL,D42,C39YV13UN2QT,D42-CARRIER,D42-CARRIER_2AFR3B,007492,FXGL_C03-3F-DQE_3_QT1-PREBURN,FAIL,2019-07-05 01:25:00,2019-07-05 01:27:55
