Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D43,G6TYW01NN8ML,D43-CRB,D43-CRB_8A2R1,005449,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:47:03,2019-07-05 21:47:15
FXGL,D43,G6TYW01RN391,D43-CRB,D43-CRB_8G14G,004892,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:29:04,2019-07-05 03:29:39
FXGL,D43,G6TYW01RN391,D43-CRB,D43-CRB_8G14G,004892,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:30:35,2019-07-05 03:30:43
FXGL,D43,G6TYW01SN391,D43-CRB,D43-CRB_8G14G,004893,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:31:10,2019-07-05 03:31:37
FXGL,D43,G6TYW01SN8ML,D43-CRB,D43-CRB_8A2R1,005461,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 22:24:13,2019-07-05 22:24:25
FXGL,D43,G6TYW01VN8ML,D43-CRB,D43-CRB_8A2R1,005458,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:42:26,2019-07-05 21:42:37
FXGL,D43,G6TYW01WN8ML,D43-CRB,D43-CRB_8A2R1,005457,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:41:14,2019-07-05 21:41:25
FXGL,D43,G6TYW01YN8ML,D43-CRB,D43-CRB_8A2R1,005455,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:45:20,2019-07-05 21:45:32
FXGL,D43,G6TYW020N8ML,D43-CRB,D43-CRB_8A2R1,005453,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:55:52,2019-07-05 21:56:04
FXGL,D43,G6TYW021N39Q,D43-CRB,D43-CRB_7S4G3,004111,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:38:57,2019-07-05 05:39:08
FXGL,D43,G6TYW021N8ML,D43-CRB,D43-CRB_8A2R1,005448,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:26:11,2019-07-05 05:26:22
FXGL,D43,G6TYW022N39K,D43-CRB,D43-CRB_7G27G3,005487,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 09:14:38,2019-07-05 09:15:10
FXGL,D43,G6TYW023N8ML,D43-CRB,D43-CRB_8A2R1,005446,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 22:24:21,2019-07-05 22:24:32
FXGL,D43,G6TYW024N8ML,D43-CRB,D43-CRB_8A2R1,005445,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:41:18,2019-07-05 21:41:29
FXGL,D43,G6TYW025N8ML,D43-CRB,D43-CRB_8A2R1,005444,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:15:09,2019-07-05 05:15:20
FXGL,D43,G6TYW027N8ML,D43-CRB,D43-CRB_8A2R1,005442,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:44:21,2019-07-05 21:44:33
FXGL,D43,G6TYW029N39K,D43-CRB,D43-CRB_7G27G3,005480,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:12:43,2019-07-05 03:12:54
FXGL,D43,G6TYW029N8ML,D43-CRB,D43-CRB_8A2R1,005440,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:15:04,2019-07-05 21:15:16
FXGL,D43,G6TYW02AN8ML,D43-CRB,D43-CRB_8A2R1,005439,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:24:01,2019-07-05 05:24:13
FXGL,D43,G6TYW02AN8ML,D43-CRB,D43-CRB_8A2R1,005439,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:25:06,2019-07-05 05:25:17
FXGL,D43,G6TYW02BN8ML,D43-CRB,D43-CRB_8A2R1,005438,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:47:59,2019-07-05 21:48:10
FXGL,D43,G6TYW02CN39K,D43-CRB,D43-CRB_7G27G3,005477,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:21:38,2019-07-05 04:21:52
FXGL,D43,G6TYW02EN39K,D43-CRB,D43-CRB_7G27G3,005475,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 09:14:35,2019-07-05 09:15:08
